Data Field name in the Staging File,Cardinality,xml tag
-,"cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyTaxScheme(..1)/cac:TaxScheme(..1)/cbc:ID= ""VAT""(..1)","cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID= ""VAT"""
SellerTaxRegistrationID,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyTaxScheme(..1)/cbc:CompanyID(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
-,"cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyTaxScheme(..1)/cac:TaxScheme(..1)/cbc:ID=! ""VAT""(..1)","cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID=! ""VAT"""
SellerAdditionalLegalInfo,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:CompanyLegalForm(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
SellerEndpoint,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cbc:EndpointID(..1),cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
SellerEndpoint_Scheme,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cbc:EndpointID (..1)/@schemeID(..1),cac:AccountingSupplierParty/cac:Party/cbc:EndpointID /@schemeID
SellerIdentifier,n(50),-
SellerIdentificationID,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyIdentification(..50)/cbc:ID(..1),cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
SellerIdentificationID_Scheme,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PartyIdentification(..50)/cbc:ID(..1) /  @schemeID (..1),cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID / @schemeID
SellerAddress1,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cbc:StreetName(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
SellerAddress2,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cbc:AdditionalStreetName(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
SellerAddress3,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cac:AddressLine(..1)/cbc:Line(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
SellerCity,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cbc:CityName(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
SellerPostcode,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cbc:PostalZone(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
SellerSubdivision,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cbc:CountrySubentity(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
SellerCountry,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:PostalAddress(..1)/cac:Country(..1)/cbc:IdentificationCode(..1),cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
SellerContactName,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:Contact(..1)/cbc:Name(..1),cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name
SellerContactNumber,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:Contact(..1)/cbc:Telephone(..1),cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone
SellerEmail,cac:AccountingSupplierParty(..1)/cac:Party(..1)/cac:Contact(..1)/cbc:ElectronicMail(..1),cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail
BuyerLegalName,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:RegistrationName(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
BuyerLegalID,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:CompanyID(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
BuyerLegalID_Scheme,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyLegalEntity(..1)/cbc:CompanyID(..1)/ @SchemeID(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/ @SchemeID
BuyerTradingName,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyName(..1)cbc:Name(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
BuyerIdentificationID,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyIdentification(..1)/cbc:ID(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
BuyerIdentificationID_Scheme,cac:AccountingCustomerParty(..1)/cac:Party(..1)/cac:PartyIdentification(..1)/cbc:ID(..1) / @SchemeID(..1),cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID / @SchemeID
